tweet_id,favorite_count,retweet_count
669353438988365824,577,236
669354382627049472,2478,1148
669359674819481600,341,110
669363888236994561,573,207
669367896104181761,419,138
669371483794317312,450,158
669375718304980992,1217,653
669393256313184256,324,66
669564461267722241,357,108
669567591774625800,213,47
669571471778410496,1461,919
669573570759163904,401,126
669583744538451968,1371,841
669597912108789760,467,138
669603084620980224,882,332
669625907762618368,3235,1635
669661792646373376,742,386
669680153564442624,613,260
669682095984410625,321,123
669683899023405056,348,99
669749430875258880,235,60
669753178989142016,733,359
669923323644657664,211,53
669926384437997569,349,87
669942763794931712,460,143
669970042633789440,278,50
669972011175813120,409,139
669993076832759809,297,74
670003130994700288,303,83
670037189829525505,541,249
670040295598354432,690,101
670046952931721218,593,159
670055038660800512,611,293
670061506722140161,690,299
670069087419133954,569,215
670073503555706880,1427,706
670079681849372674,2032,1103
670086499208155136,639,226
670093938074779648,944,298
670290420111441920,641,259
670303360680108032,402,118
670319130621435904,3590,1108
670338931251150849,397,101
670361874861563904,301,59
670374371102445568,688,247
670385711116361728,516,187
670403879788544000,391,137
670408998013820928,506,198
670411370698022913,1854,810
670417414769758208,526,295
670420569653809152,564,280
670421925039075328,1200,577
670427002554466305,481,146
670428280563085312,1284,554
670433248821026816,304,103
670434127938719744,1299,583
670435821946826752,973,462
670442337873600512,594,183
670444955656130560,6227,1796
670449342516494336,1106,585
670452855871037440,505,185
670465786746662913,892,494
670468609693655041,328,80
670474236058800128,1387,669
670668383499735048,9807,4502
670676092097810432,224,37
670679630144274432,688,254
670691627984359425,537,218
670704688707301377,712,337
670717338665226240,1093,436
670727704916926465,765,325
670733412878163972,884,464
670755717859713024,402,95
670764103623966721,998,387
670778058496974848,306,66
670780561024270336,727,262
670782429121134593,1410,697
670783437142401025,763,348
670786190031921152,552,183
670789397210615808,608,217
670792680469889025,757,245
670797304698376195,680,211
670803562457407488,312,81
670804601705242624,1803,862
670807719151067136,1078,445
670811965569282048,1033,242
670815497391357952,2896,1388
670822709593571328,556,88
670823764196741120,707,169
670826280409919488,5054,3654
670832455012716544,667,194
670833812859932673,397,113
670838202509447168,1017,622
670840546554966016,537,173
670842764863651840,22741,7847
670995969505435648,1009,262
671109016219725825,1052,394
671115716440031232,1253,706
671122204919246848,3187,2281
671134062904504320,676,171
671138694582165504,846,366
671141549288370177,1060,594
671147085991960577,607,200
671151324042559489,608,138
671154572044468225,652,199
